date,kyra,ohra,para,usra,wvra
2000-01,4.2,4.1,4.1,4,5.8
2000-02,4.1,4.1,4,4.1,5.6
2000-03,4.1,4,4,4,5.5
2000-04,4.1,4,4,3.8,5.4
2000-05,4.1,4.1,4,4,5.4
2000-06,4.1,4.1,4.1,4,5.4
2000-07,4.1,4.1,4.1,4,5.4
2000-08,4.1,4,4.2,4.1,5.5
2000-09,4.2,4,4.2,3.9,5.5
2000-10,4.2,3.9,4.2,3.9,5.5
2000-11,4.3,3.8,4.3,3.9,5.4
2000-12,4.4,3.8,4.3,3.9,5.4
2001-01,4.5,3.7,4.3,4.2,5.3
2001-02,4.6,3.7,4.4,4.2,5.2
2001-03,4.7,3.8,4.4,4.3,5.1
2001-04,4.8,3.8,4.5,4.4,5
2001-05,4.9,3.9,4.6,4.3,4.9
2001-06,5,4,4.7,4.5,4.9
2001-07,5.2,4.2,4.8,4.6,4.8
2001-08,5.3,4.4,4.9,4.9,4.8
2001-09,5.5,4.6,5.1,5,4.9
2001-10,5.7,4.9,5.2,5.3,5
2001-11,5.8,5.2,5.3,5.5,5.1
2001-12,5.9,5.4,5.4,5.7,5.3
2002-01,5.9,5.6,5.5,5.7,5.5
2002-02,5.8,5.7,5.6,5.7,5.7
2002-03,5.7,5.8,5.6,5.7,5.8
2002-04,5.6,5.9,5.7,5.9,5.9
2002-05,5.6,5.8,5.6,5.8,6
2002-06,5.5,5.8,5.6,5.8,6
2002-07,5.5,5.7,5.5,5.8,6
2002-08,5.6,5.7,5.5,5.7,6
2002-09,5.6,5.6,5.6,5.7,6
2002-10,5.7,5.7,5.6,5.7,6
2002-11,5.8,5.8,5.7,5.9,6
2002-12,5.9,5.9,5.8,6,6.1
2003-01,6,6.1,5.8,5.8,6.1
2003-02,6.1,6.2,5.8,5.9,6.2
2003-03,6.2,6.3,5.8,5.9,6.2
2003-04,6.2,6.4,5.8,6,6.2
2003-05,6.3,6.4,5.7,6.1,6.2
2003-06,6.3,6.5,5.7,6.3,6.2
2003-07,6.3,6.4,5.7,6.2,6.2
2003-08,6.3,6.3,5.6,6.1,6.1
2003-09,6.2,6.2,5.6,6.1,5.9
2003-10,6,6.1,5.5,6,5.8
2003-11,5.9,6,5.5,5.8,5.7
2003-12,5.8,6.1,5.5,5.7,5.7
2004-01,5.7,6.1,5.5,5.7,5.6
2004-02,5.7,6.1,5.5,5.6,5.6
2004-03,5.6,6.2,5.5,5.8,5.5
2004-04,5.6,6.2,5.5,5.6,5.5
2004-05,5.5,6.2,5.5,5.6,5.4
2004-06,5.4,6.2,5.5,5.6,5.3
2004-07,5.3,6.3,5.4,5.5,5.2
2004-08,5.2,6.3,5.4,5.4,5.1
2004-09,5.2,6.3,5.4,5.4,5.1
2004-10,5.2,6.4,5.3,5.5,5.1
2004-11,5.2,6.4,5.3,5.4,5.2
2004-12,5.3,6.4,5.3,5.4,5.2
2005-01,5.4,6.3,5.2,5.3,5.2
2005-02,5.6,6.3,5.2,5.4,5.2
2005-03,5.7,6.1,5.1,5.2,5.1
2005-04,5.8,6,5.1,5.2,5.1
2005-05,5.9,5.9,5,5.1,5.1
2005-06,5.9,5.8,4.9,5,5.1
2005-07,5.9,5.8,4.9,5,5.1
2005-08,6,5.8,4.9,4.9,5.2
2005-09,6,5.8,4.9,5,5.2
2005-10,6.1,5.8,4.9,5,5.1
2005-11,6.1,5.7,4.8,5,5
2005-12,6,5.6,4.7,4.9,4.8
2006-01,6,5.5,4.7,4.7,4.7
2006-02,5.9,5.4,4.6,4.8,4.7
2006-03,5.8,5.3,4.6,4.7,4.7
2006-04,5.7,5.3,4.6,4.7,4.8
2006-05,5.7,5.3,4.7,4.6,5
2006-06,5.7,5.4,4.7,4.6,5.1
2006-07,5.7,5.5,4.7,4.7,5.2
2006-08,5.7,5.5,4.6,4.7,5.2
2006-09,5.7,5.5,4.6,4.5,5.2
2006-10,5.7,5.5,4.5,4.4,5.1
2006-11,5.6,5.5,4.4,4.5,4.9
2006-12,5.6,5.4,4.4,4.4,4.8
2007-01,5.5,5.4,4.3,4.6,4.6
2007-02,5.5,5.4,4.2,4.5,4.5
2007-03,5.4,5.4,4.2,4.4,4.5
2007-04,5.3,5.4,4.2,4.5,4.4
2007-05,5.3,5.5,4.2,4.4,4.4
2007-06,5.2,5.5,4.3,4.6,4.5
2007-07,5.3,5.6,4.4,4.7,4.5
2007-08,5.4,5.6,4.5,4.6,4.6
2007-09,5.4,5.7,4.5,4.7,4.7
2007-10,5.4,5.7,4.6,4.7,4.7
2007-11,5.4,5.7,4.6,4.7,4.7
2007-12,5.4,5.6,4.7,5,4.6
2008-01,5.4,5.5,4.7,5,4.5
2008-02,5.4,5.5,4.7,4.9,4.4
2008-03,5.5,5.6,4.8,5.1,4.3
2008-04,5.7,5.8,4.8,5,4.2
2008-05,5.9,6,4.9,5.4,4.1
2008-06,6.2,6.3,5,5.6,4.1
2008-07,6.4,6.5,5.2,5.8,4
2008-08,6.7,6.7,5.4,6.1,4.1
2008-09,6.9,6.9,5.6,6.1,4.2
2008-10,7.3,7.2,5.9,6.5,4.4
2008-11,7.8,7.6,6.2,6.8,4.8
2008-12,8.4,8.1,6.6,7.3,5.3
2009-01,9,8.699999999999999,7,7.8,5.8
2009-02,9.6,9.300000000000001,7.4,8.300000000000001,6.4
2009-03,10,9.800000000000001,7.7,8.699999999999999,7
2009-04,10.4,10.2,7.9,9,7.5
2009-05,10.6,10.4,8.1,9.4,7.9
2009-06,10.7,10.5,8.199999999999999,9.5,8.1
2009-07,10.7,10.6,8.199999999999999,9.5,8.199999999999999
2009-08,10.6,10.6,8.300000000000001,9.6,8.199999999999999
2009-09,10.6,10.7,8.300000000000001,9.800000000000001,8.199999999999999
2009-10,10.6,10.8,8.4,10,8.300000000000001
2009-11,10.6,10.9,8.5,9.9,8.4
2009-12,10.6,11,8.6,9.9,8.5
2010-01,10.6,11.1,8.699999999999999,9.800000000000001,8.6
2010-02,10.6,11,8.800000000000001,9.800000000000001,8.6
2010-03,10.5,10.9,8.800000000000001,9.9,8.6
2010-04,10.3,10.6,8.699999999999999,9.9,8.5
2010-05,10.2,10.4,8.6,9.6,8.5
2010-06,10,10.1,8.5,9.4,8.5
2010-07,9.9,10,8.300000000000001,9.4,8.5
2010-08,9.9,9.9,8.300000000000001,9.5,8.6
2010-09,10,9.9,8.199999999999999,9.5,8.699999999999999
2010-10,10,9.800000000000001,8.199999999999999,9.4,8.800000000000001
2010-11,10,9.699999999999999,8.1,9.800000000000001,8.800000000000001
2010-12,10,9.5,8,9.300000000000001,8.800000000000001
2011-01,9.800000000000001,9.300000000000001,7.9,9.1,8.699999999999999
2011-02,9.699999999999999,9.1,7.9,9,8.5
2011-03,9.6,9,7.8,9,8.300000000000001
2011-04,9.6,9,7.8,9.1,8.199999999999999
2011-05,9.5,9,7.9,9,8.1
2011-06,9.5,9.1,8,9.1,8
2011-07,9.5,9.1,8,9,8
2011-08,9.4,9,8.1,9,8
2011-09,9.300000000000001,8.800000000000001,8,9,7.9
2011-10,9.1,8.5,8,8.800000000000001,7.8
2011-11,8.9,8.300000000000001,7.9,8.6,7.7
2011-12,8.6,8,7.8,8.5,7.5
2012-01,8.4,7.8,7.7,8.300000000000001,7.4
2012-02,8.199999999999999,7.6,7.7,8.300000000000001,7.3
2012-03,8.1,7.5,7.7,8.199999999999999,7.3
2012-04,8.1,7.4,7.7,8.199999999999999,7.4
2012-05,8.1,7.4,7.8,8.199999999999999,7.5
2012-06,8.199999999999999,7.3,7.9,8.199999999999999,7.6
2012-07,8.199999999999999,7.3,7.9,8.199999999999999,7.6
2012-08,8.199999999999999,7.2,7.9,8.1,7.7
2012-09,8.199999999999999,7.2,7.9,7.8,7.6
2012-10,8.1,7.3,7.9,7.8,7.6
2012-11,8.1,7.4,7.9,7.7,7.5
2012-12,8.1,7.5,7.9,7.9,7.4
2013-01,8.1,7.5,7.9,8,7.3
2013-02,8.1,7.6,7.8,7.7,7.1
2013-03,8.1,7.6,7.7,7.5,6.9
2013-04,8.1,7.6,7.6,7.6,6.8
2013-05,8.1,7.5,7.5,7.5,6.7
2013-06,8.1,7.5,7.4,7.5,6.6
2013-07,8.1,7.6,7.3,7.3,6.6
2013-08,8.1,7.5,7.3,7.2,6.6
2013-09,8,7.4,7.1,7.2,6.6
2013-10,7.9,7.3,7,7.2,6.7
2013-11,7.8,7.1,6.8,6.9,6.8
2013-12,7.7,6.9,6.7,6.7,6.8
2014-01,7.5,6.6,6.5,6.6,6.9
2014-02,7.4,6.4,6.4,6.7,6.8
2014-03,7.2,6.2,6.2,6.7,6.8
2014-04,7,6,6.1,6.2,6.7
2014-05,6.8,5.9,6,6.3,6.7
2014-06,6.5,5.8,5.9,6.1,6.6
2014-07,6.3,5.7,5.8,6.2,6.6
2014-08,6.1,5.6,5.7,6.1,6.5
2014-09,5.9,5.5,5.6,5.9,6.5
2014-10,5.7,5.4,5.5,5.7,6.5
2014-11,5.6,5.3,5.4,5.8,6.5
2014-12,5.5,5.2,5.4,5.6,6.5
2015-01,5.4,5.1,5.4,5.7,6.6
2015-02,5.4,5.1,5.4,5.5,6.8
2015-03,5.3,5.1,5.4,5.4,6.9
2015-04,5.3,5.1,5.4,5.4,7
2015-05,5.3,5,5.4,5.6,7.1
2015-06,5.2,4.9,5.3,5.3,7
2015-07,5.2,4.8,5.3,5.2,6.9
2015-08,5.2,4.7,5.2,5.1,6.7
2015-09,5.2,4.7,5.2,5,6.6
2015-10,5.2,4.7,5.1,5,6.5
2015-11,5.3,4.8,5.1,5.1,6.4
2015-12,5.3,4.9,5.2,5,6.4
2016-01,5.3,4.9,5.2,4.9,6.4
2016-02,5.2,5,5.3,4.9,6.4
2016-03,5.2,5,5.4,5,6.4
2016-04,5.1,5,5.4,5,6.3
2016-05,5,4.9,5.4,4.8,6.2
2016-06,5,5,5.5,4.9,6.2
2016-07,5.1,5,5.5,4.8,6.1
2016-08,5.1,5,5.5,4.9,6
2016-09,5.1,5.1,5.4,5,5.9
2016-10,5.2,5.2,5.4,4.9,5.8
2016-11,5.2,5.2,5.4,4.7,5.7
2016-12,5.2,5.2,5.3,4.7,5.5
2017-01,5.2,5.2,5.2,4.7,5.3
2017-02,5.2,5.1,5.1,4.7,5.2
2017-03,5.2,5.1,5,4.4,5.1
2017-04,5.1,5.1,5,4.4,5
2017-05,5.1,5.1,4.9,4.4,5
2017-06,5,5.1,4.8,4.3,5
2017-07,5,5,4.8,4.3,5.1
2017-08,4.9,5,4.8,4.4,5.2
2017-09,4.7,4.9,4.8,4.2,5.3
2017-10,4.6,4.8,4.8,4.1,5.3
2017-11,4.5,4.7,4.7,4.2,5.4
2017-12,4.4,4.5,4.7,4.1,5.4
2018-01,4.3,4.5,4.6,4.1,5.4
2018-02,4.3,4.5,4.5,4.1,5.4
2018-03,4.3,4.5,4.4,4,5.4
2018-04,4.4,4.6,4.3,3.9,5.4
2018-05,4.4,4.6,4.3,3.8,5.3
2018-06,4.4,4.6,4.2,4,5.2
2018-07,4.4,4.6,4.2,3.9,5.2
2018-08,4.4,4.6,4.2,3.8,5.1
2018-09,4.3,4.6,4.2,3.7,5.1
2018-10,4.3,4.6,4.2,3.8,5.1
2018-11,4.3,4.6,4.2,3.7,5.1
2018-12,4.3,4.6,4.2,3.9,5.1
2019-01,4.2,4.7,4.1,4,5.2
2019-02,4.1,4.6,4,3.8,5.2
2019-03,4,4.4,3.9,3.8,5.1
2019-04,4,4.2,3.8,3.6,4.9
2019-05,4,4.1,3.8,3.6,4.8
2019-06,4.1,4,3.8,3.7,4.7
2019-07,4.3,4,3.9,3.7,4.7
2019-08,4.4,4.1,3.9,3.7,4.6
2019-09,4.4,4.2,4,3.5,4.7
2019-10,,,,3.6,
